country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","15-11-2025 23:00:00",25.204762,85.514960,NO2,9,10,9
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","15-11-2025 23:00:00",25.204762,85.514960,SO2,10,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","15-11-2025 23:00:00",25.567520,83.966379,NO2,9,10,9
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-11-2025 23:00:00",25.697189,85.245900,SO2,2,5,4
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-11-2025 23:00:00",25.697189,85.245900,CO,37,91,60
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","15-11-2025 23:00:00",25.697189,85.245900,OZONE,14,166,70
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","15-11-2025 23:00:00",26.0881305,87.93840336,CO,13,19,15
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-11-2025 23:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-11-2025 23:00:00",26.63086,84.90051,SO2,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","15-11-2025 23:00:00",25.376776,86.471523,SO2,15,19,17
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","15-11-2025 23:00:00",26.11442,85.39813,NH3,5,11,8
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-11-2025 23:00:00",26.1403345,85.3650192,PM2.5,80,92,81
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-11-2025 23:00:00",26.1403345,85.3650192,PM10,62,73,68
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-11-2025 23:00:00",25.586562,85.043586,NO2,43,98,62
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","15-11-2025 23:00:00",24.7955,84.9994,PM2.5,50,303,167
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-11-2025 23:00:00",24.792403,84.992416,PM10,108,322,199
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","15-11-2025 23:00:00",24.792403,84.992416,SO2,14,18,16
